ID,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing
2462,less_0,26,credits_paid_to_date,appliances,1996,less_100,1_to_4,3,male,none,2,savings_insurance,30,stores,own
2463,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,2,savings_insurance,24,none,rent
2464,0_to_200,28,outstanding_credit,business,4776,unknown,greater_7,5,female,none,3,unknown,46,none,free
2465,0_to_200,14,credits_paid_to_date,vacation,678,500_to_1000,4_to_7,3,female,none,3,savings_insurance,38,stores,rent
2466,no_checking,29,prior_payments_delayed,car_used,5589,100_to_500,4_to_7,4,male,none,3,car_other,44,none,own
2467,less_0,8,prior_payments_delayed,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,19,stores,own
2468,no_checking,36,outstanding_credit,radio_tv,6040,greater_1000,greater_7,5,male,co-applicant,4,unknown,55,stores,own
2469,no_checking,23,outstanding_credit,repairs,3355,500_to_1000,1_to_4,4,female,none,4,car_other,48,stores,own
2470,no_checking,30,prior_payments_delayed,car_used,4420,greater_1000,1_to_4,3,male,none,3,car_other,43,none,free
2471,no_checking,21,credits_paid_to_date,car_used,6850,greater_1000,1_to_4,3,male,none,4,unknown,32,stores,own
2472,no_checking,26,prior_payments_delayed,business,6202,greater_1000,4_to_7,3,male,none,4,savings_insurance,37,none,own
2473,less_0,10,all_credits_paid_back,car_used,2323,less_100,less_1,2,male,none,3,savings_insurance,19,bank,rent
2474,no_checking,28,prior_payments_delayed,radio_tv,6858,100_to_500,1_to_4,4,male,none,3,unknown,40,stores,rent
2475,no_checking,12,outstanding_credit,business,3223,unknown,1_to_4,4,male,none,3,car_other,35,none,rent
2476,less_0,20,credits_paid_to_date,car_new,1051,100_to_500,4_to_7,3,female,none,3,car_other,39,stores,own
2477,no_checking,37,prior_payments_delayed,appliances,4522,unknown,4_to_7,4,male,none,3,savings_insurance,40,stores,rent
2478,0_to_200,15,prior_payments_delayed,furniture,2264,greater_1000,1_to_4,3,female,none,3,real_estate,42,none,own
2479,no_checking,38,prior_payments_delayed,repairs,3094,500_to_1000,greater_7,3,male,none,3,savings_insurance,39,none,own
2480,less_0,21,credits_paid_to_date,furniture,2174,less_100,less_1,2,female,none,1,car_other,35,stores,own
2481,greater_200,20,outstanding_credit,appliances,5257,unknown,1_to_4,3,male,none,4,car_other,27,none,own
2482,less_0,16,prior_payments_delayed,car_new,3009,500_to_1000,less_1,3,male,none,3,car_other,37,none,own
2483,no_checking,38,prior_payments_delayed,repairs,8489,500_to_1000,1_to_4,4,male,guarantor,5,car_other,45,none,free
2484,greater_200,20,outstanding_credit,car_used,5844,100_to_500,4_to_7,4,male,none,4,savings_insurance,42,none,own
2485,0_to_200,19,credits_paid_to_date,furniture,3202,less_100,1_to_4,3,female,none,3,savings_insurance,30,none,own
2486,less_0,19,prior_payments_delayed,retraining,2849,less_100,less_1,3,female,none,2,savings_insurance,32,none,own
2487,0_to_200,24,credits_paid_to_date,radio_tv,1355,less_100,less_1,2,male,none,3,savings_insurance,19,none,own
2488,greater_200,20,credits_paid_to_date,radio_tv,3518,500_to_1000,less_1,2,female,none,3,savings_insurance,32,none,rent
2489,less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,savings_insurance,19,stores,rent
2490,no_checking,34,prior_payments_delayed,appliances,4834,500_to_1000,4_to_7,3,male,none,4,unknown,47,none,own
2491,no_checking,26,prior_payments_delayed,furniture,2539,100_to_500,4_to_7,4,female,none,3,savings_insurance,49,none,own
2492,greater_200,31,all_credits_paid_back,car_new,3342,less_100,4_to_7,3,male,none,2,car_other,36,none,own
2493,no_checking,38,outstanding_credit,appliances,6313,greater_1000,4_to_7,4,male,co-applicant,5,car_other,45,none,own
2494,0_to_200,32,outstanding_credit,other,4800,unknown,4_to_7,3,male,none,3,car_other,42,none,own
2495,0_to_200,12,credits_paid_to_date,car_new,250,100_to_500,less_1,2,female,none,2,savings_insurance,20,none,own
2496,no_checking,34,outstanding_credit,furniture,5283,unknown,1_to_4,4,male,none,5,car_other,43,none,own
2497,no_checking,15,credits_paid_to_date,radio_tv,3605,less_100,4_to_7,4,male,none,2,real_estate,24,none,own
2498,less_0,21,credits_paid_to_date,car_new,3729,less_100,4_to_7,3,female,none,1,car_other,30,stores,rent
2499,no_checking,21,credits_paid_to_date,car_used,5291,greater_1000,1_to_4,3,male,guarantor,3,savings_insurance,43,stores,own
2500,no_checking,24,prior_payments_delayed,radio_tv,6159,100_to_500,4_to_7,4,male,none,5,unknown,55,none,free
2501,no_checking,10,credits_paid_to_date,vacation,4647,500_to_1000,greater_7,4,female,none,4,savings_insurance,48,none,own
2502,less_0,19,credits_paid_to_date,furniture,4003,less_100,unemployed,3,male,none,3,savings_insurance,29,none,own
2503,0_to_200,8,all_credits_paid_back,vacation,1455,less_100,less_1,1,female,none,1,car_other,31,none,own
2504,no_checking,27,outstanding_credit,furniture,5301,500_to_1000,4_to_7,3,male,none,4,unknown,54,none,free
2505,less_0,32,all_credits_paid_back,radio_tv,333,500_to_1000,4_to_7,3,female,none,1,car_other,23,stores,own
2506,no_checking,34,prior_payments_delayed,appliances,6688,500_to_1000,4_to_7,5,female,none,3,savings_insurance,55,none,free
2507,no_checking,24,prior_payments_delayed,education,1828,unknown,1_to_4,3,male,none,3,savings_insurance,44,none,own
2508,no_checking,30,prior_payments_delayed,appliances,7652,100_to_500,1_to_4,3,female,none,4,car_other,56,stores,own
2509,less_0,4,credits_paid_to_date,car_new,621,less_100,unemployed,1,female,none,2,savings_insurance,29,bank,rent
2510,no_checking,32,all_credits_paid_back,car_used,4423,greater_1000,1_to_4,4,female,none,3,car_other,42,none,own
2511,less_0,4,all_credits_paid_back,car_used,1849,less_100,1_to_4,2,female,none,1,real_estate,28,none,own
2512,no_checking,30,all_credits_paid_back,education,7706,less_100,1_to_4,3,female,none,4,car_other,45,none,own
2513,0_to_200,6,all_credits_paid_back,education,250,less_100,1_to_4,3,male,none,2,real_estate,24,none,rent
2514,less_0,17,credits_paid_to_date,car_new,1382,less_100,less_1,2,male,none,3,savings_insurance,19,none,own
2515,greater_200,23,credits_paid_to_date,car_used,4087,less_100,less_1,2,male,none,2,real_estate,29,none,own
2516,no_checking,35,outstanding_credit,education,5289,500_to_1000,4_to_7,5,male,none,3,car_other,47,none,own
2517,no_checking,19,outstanding_credit,appliances,5674,100_to_500,1_to_4,4,female,none,3,unknown,36,none,own
2518,less_0,11,all_credits_paid_back,car_new,250,less_100,1_to_4,3,male,none,3,savings_insurance,25,bank,rent
2519,no_checking,39,outstanding_credit,repairs,7691,unknown,greater_7,5,male,co-applicant,5,unknown,56,none,free
2520,no_checking,44,prior_payments_delayed,repairs,6049,unknown,greater_7,4,male,co-applicant,5,car_other,38,none,free
2521,no_checking,24,all_credits_paid_back,car_new,1987,less_100,4_to_7,2,male,none,4,savings_insurance,25,bank,own
2522,less_0,11,credits_paid_to_date,car_new,2083,less_100,less_1,2,male,none,2,savings_insurance,25,none,own
2523,less_0,4,credits_paid_to_date,car_new,695,100_to_500,4_to_7,3,male,none,2,car_other,29,none,rent
2524,less_0,8,all_credits_paid_back,car_used,1312,less_100,1_to_4,1,female,none,1,savings_insurance,24,bank,rent
2525,0_to_200,5,all_credits_paid_back,car_used,4170,less_100,1_to_4,3,female,none,3,real_estate,35,stores,own
2526,no_checking,30,prior_payments_delayed,business,5899,100_to_500,4_to_7,4,male,none,4,unknown,53,none,free
2527,no_checking,35,prior_payments_delayed,furniture,2123,500_to_1000,4_to_7,4,male,none,4,car_other,34,none,own
2528,less_0,8,prior_payments_delayed,furniture,2160,less_100,less_1,2,female,none,1,real_estate,32,none,own
2529,less_0,4,credits_paid_to_date,car_new,250,100_to_500,less_1,2,female,co-applicant,1,real_estate,39,stores,rent
2530,no_checking,27,outstanding_credit,appliances,8116,unknown,greater_7,4,male,guarantor,5,car_other,53,none,free
2531,0_to_200,21,prior_payments_delayed,radio_tv,3550,less_100,4_to_7,3,male,none,4,savings_insurance,26,bank,own
2532,less_0,9,prior_payments_delayed,vacation,4783,less_100,less_1,2,female,none,1,savings_insurance,33,none,own
2533,less_0,14,credits_paid_to_date,car_new,1071,less_100,4_to_7,2,male,none,2,savings_insurance,33,none,rent
2534,greater_200,31,credits_paid_to_date,car_used,4071,100_to_500,4_to_7,4,male,guarantor,4,car_other,47,none,free
2535,no_checking,15,prior_payments_delayed,radio_tv,2884,greater_1000,greater_7,3,male,guarantor,3,car_other,57,none,free
2536,0_to_200,25,outstanding_credit,appliances,5049,greater_1000,greater_7,3,male,none,3,car_other,54,none,own
2537,greater_200,6,prior_payments_delayed,car_new,4059,less_100,4_to_7,3,female,none,4,savings_insurance,45,none,own
2538,no_checking,28,prior_payments_delayed,appliances,8867,100_to_500,less_1,3,female,none,3,unknown,47,stores,own
2539,0_to_200,36,prior_payments_delayed,appliances,3456,500_to_1000,4_to_7,3,male,none,2,car_other,46,none,own
2540,no_checking,51,outstanding_credit,repairs,7248,greater_1000,greater_7,5,male,co-applicant,5,car_other,42,none,free
2541,less_0,7,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,33,none,own
2542,no_checking,35,prior_payments_delayed,furniture,7824,500_to_1000,greater_7,3,male,co-applicant,3,car_other,44,none,free
2543,0_to_200,17,prior_payments_delayed,radio_tv,6558,greater_1000,4_to_7,4,male,none,3,unknown,27,none,own
2544,greater_200,34,prior_payments_delayed,appliances,3575,100_to_500,4_to_7,3,female,none,2,savings_insurance,41,none,own
2545,less_0,27,outstanding_credit,car_used,1823,greater_1000,greater_7,3,male,none,2,savings_insurance,27,bank,own
2546,no_checking,29,outstanding_credit,radio_tv,9635,500_to_1000,greater_7,4,male,guarantor,4,unknown,61,none,free
2547,0_to_200,10,credits_paid_to_date,car_used,250,less_100,less_1,1,female,none,2,real_estate,30,stores,own
2548,0_to_200,16,prior_payments_delayed,car_used,3083,500_to_1000,greater_7,4,male,none,3,savings_insurance,37,none,own
2549,less_0,4,prior_payments_delayed,car_new,250,500_to_1000,less_1,2,male,none,2,car_other,41,bank,rent
2550,greater_200,34,outstanding_credit,repairs,6810,500_to_1000,4_to_7,4,female,none,3,unknown,44,none,own
2551,less_0,4,credits_paid_to_date,car_new,250,less_100,less_1,1,male,none,2,real_estate,26,stores,rent
2552,less_0,9,prior_payments_delayed,car_new,872,less_100,1_to_4,2,female,none,3,savings_insurance,41,none,own
2553,no_checking,11,credits_paid_to_date,car_used,2956,greater_1000,4_to_7,4,male,none,4,savings_insurance,38,none,own
2554,0_to_200,28,prior_payments_delayed,radio_tv,2984,100_to_500,greater_7,3,male,none,2,savings_insurance,33,none,own
2555,no_checking,20,credits_paid_to_date,radio_tv,4561,500_to_1000,4_to_7,3,female,none,2,car_other,31,stores,own
2556,no_checking,26,all_credits_paid_back,repairs,4048,less_100,1_to_4,2,female,none,2,real_estate,33,none,own
2557,less_0,22,credits_paid_to_date,furniture,250,less_100,less_1,1,female,none,1,real_estate,23,stores,rent
2558,0_to_200,26,prior_payments_delayed,radio_tv,2894,100_to_500,greater_7,3,male,none,2,savings_insurance,30,none,own
2559,no_checking,35,outstanding_credit,other,3482,unknown,greater_7,4,male,none,4,car_other,59,none,free
2560,0_to_200,33,outstanding_credit,vacation,5012,100_to_500,1_to_4,3,female,co-applicant,3,unknown,43,stores,free
2561,no_checking,28,prior_payments_delayed,furniture,5749,greater_1000,4_to_7,4,female,none,3,car_other,39,none,own
2562,less_0,11,prior_payments_delayed,car_new,250,100_to_500,less_1,2,female,none,1,car_other,31,bank,rent
2563,no_checking,20,credits_paid_to_date,car_new,6862,100_to_500,1_to_4,4,female,none,4,unknown,47,none,own
2564,no_checking,30,prior_payments_delayed,car_used,5223,100_to_500,1_to_4,3,female,none,3,car_other,52,none,own
2565,no_checking,29,prior_payments_delayed,car_used,6020,unknown,4_to_7,3,male,none,3,savings_insurance,31,none,own
2566,0_to_200,27,credits_paid_to_date,car_used,5923,100_to_500,4_to_7,4,male,none,3,car_other,36,none,own
2567,less_0,7,no_credits,car_new,250,less_100,less_1,2,female,co-applicant,1,real_estate,28,stores,own
2568,no_checking,29,outstanding_credit,appliances,5123,greater_1000,greater_7,5,male,none,3,savings_insurance,46,stores,own
2569,no_checking,35,prior_payments_delayed,radio_tv,2231,greater_1000,greater_7,3,female,none,3,car_other,45,none,own
2570,no_checking,37,prior_payments_delayed,appliances,4956,500_to_1000,1_to_4,3,male,none,4,car_other,44,none,own
2571,less_0,4,all_credits_paid_back,car_new,1711,less_100,1_to_4,2,female,none,1,savings_insurance,21,bank,rent
2572,no_checking,34,credits_paid_to_date,furniture,8074,500_to_1000,greater_7,4,male,co-applicant,3,savings_insurance,40,stores,own
2573,0_to_200,32,all_credits_paid_back,car_new,948,less_100,4_to_7,3,female,none,3,real_estate,19,none,rent
2574,no_checking,26,prior_payments_delayed,furniture,5092,100_to_500,4_to_7,3,female,co-applicant,3,car_other,47,bank,own
2575,no_checking,24,prior_payments_delayed,radio_tv,3928,unknown,4_to_7,4,male,none,5,savings_insurance,37,none,own
2576,no_checking,25,prior_payments_delayed,car_used,5995,greater_1000,4_to_7,4,male,none,3,car_other,47,none,own
2577,less_0,7,prior_payments_delayed,appliances,250,less_100,less_1,2,female,none,1,real_estate,19,none,rent
2578,less_0,29,outstanding_credit,furniture,1809,greater_1000,1_to_4,2,male,none,3,savings_insurance,42,stores,own
2579,no_checking,8,credits_paid_to_date,car_new,290,greater_1000,1_to_4,2,male,none,3,savings_insurance,40,none,own
2580,no_checking,30,prior_payments_delayed,furniture,5119,100_to_500,4_to_7,3,female,none,3,car_other,55,none,own
2581,0_to_200,17,prior_payments_delayed,radio_tv,1807,greater_1000,less_1,2,male,none,3,savings_insurance,40,none,rent
2582,no_checking,30,outstanding_credit,appliances,6180,unknown,4_to_7,3,female,none,4,unknown,46,none,own
2583,no_checking,41,prior_payments_delayed,radio_tv,7171,greater_1000,greater_7,4,male,co-applicant,3,car_other,30,bank,own
2584,no_checking,38,outstanding_credit,appliances,8836,greater_1000,greater_7,4,male,co-applicant,3,unknown,56,none,free
2585,no_checking,24,outstanding_credit,car_used,6468,500_to_1000,1_to_4,4,male,none,3,car_other,28,none,own
2586,no_checking,45,outstanding_credit,radio_tv,6773,500_to_1000,4_to_7,5,male,co-applicant,5,car_other,54,none,free
2587,0_to_200,5,all_credits_paid_back,car_used,477,less_100,1_to_4,2,female,none,3,real_estate,28,none,own
2588,no_checking,35,outstanding_credit,radio_tv,7533,500_to_1000,greater_7,5,male,guarantor,4,unknown,57,none,free
2589,0_to_200,9,all_credits_paid_back,car_new,2672,less_100,4_to_7,3,female,none,2,savings_insurance,30,none,own
2590,no_checking,26,prior_payments_delayed,appliances,4721,100_to_500,1_to_4,3,female,none,4,savings_insurance,44,none,own
2591,0_to_200,4,prior_payments_delayed,furniture,510,less_100,4_to_7,3,male,none,3,savings_insurance,36,none,own
2592,no_checking,29,prior_payments_delayed,repairs,4657,100_to_500,4_to_7,4,male,none,4,savings_insurance,38,none,own
2593,greater_200,28,prior_payments_delayed,furniture,4048,100_to_500,1_to_4,3,male,none,2,savings_insurance,24,none,own
2594,no_checking,41,credits_paid_to_date,furniture,5628,unknown,greater_7,5,male,none,5,savings_insurance,43,stores,own
2595,0_to_200,13,credits_paid_to_date,car_new,1738,less_100,less_1,2,female,co-applicant,2,car_other,30,stores,own
2596,no_checking,34,prior_payments_delayed,furniture,4920,500_to_1000,greater_7,4,female,none,3,unknown,44,none,free
2597,0_to_200,15,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,21,none,own
2598,0_to_200,22,outstanding_credit,radio_tv,2540,greater_1000,1_to_4,3,male,none,4,car_other,42,none,own
2599,0_to_200,11,credits_paid_to_date,vacation,1464,less_100,less_1,2,female,none,3,car_other,25,none,own
2600,less_0,14,prior_payments_delayed,car_new,1628,less_100,less_1,3,female,none,3,real_estate,25,none,own
2601,less_0,6,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,32,stores,rent
2602,no_checking,27,outstanding_credit,vacation,7403,unknown,greater_7,4,male,none,5,unknown,50,none,own
2603,0_to_200,25,credits_paid_to_date,furniture,3468,greater_1000,1_to_4,3,male,none,3,savings_insurance,27,bank,rent
2604,no_checking,35,prior_payments_delayed,vacation,6016,unknown,4_to_7,5,male,none,4,car_other,42,none,own
2605,0_to_200,12,credits_paid_to_date,car_new,250,500_to_1000,less_1,2,female,none,3,savings_insurance,36,stores,own
2606,greater_200,24,credits_paid_to_date,car_used,4643,100_to_500,less_1,3,male,none,4,savings_insurance,30,none,own
2607,0_to_200,20,prior_payments_delayed,radio_tv,3626,100_to_500,1_to_4,3,male,none,4,unknown,35,none,own
2608,0_to_200,26,credits_paid_to_date,car_used,3052,less_100,4_to_7,3,female,none,3,savings_insurance,45,none,free
2609,no_checking,29,outstanding_credit,radio_tv,7468,500_to_1000,greater_7,5,male,co-applicant,4,car_other,55,none,free
2610,no_checking,39,prior_payments_delayed,repairs,6110,unknown,4_to_7,4,male,none,4,savings_insurance,50,stores,own
2611,less_0,9,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,1,real_estate,28,none,rent
2612,no_checking,31,prior_payments_delayed,appliances,5629,greater_1000,greater_7,3,female,none,4,car_other,43,none,own
2613,less_0,14,no_credits,car_new,754,100_to_500,1_to_4,2,male,none,2,real_estate,19,bank,rent
2614,no_checking,30,outstanding_credit,radio_tv,5283,greater_1000,4_to_7,4,male,none,4,unknown,58,none,free
2615,0_to_200,18,credits_paid_to_date,car_used,1598,500_to_1000,4_to_7,3,male,co-applicant,2,real_estate,44,none,own
2616,no_checking,34,prior_payments_delayed,furniture,5056,500_to_1000,4_to_7,4,male,none,5,savings_insurance,43,stores,own
2617,no_checking,8,prior_payments_delayed,car_new,3629,500_to_1000,1_to_4,2,male,none,4,car_other,44,none,own
2618,no_checking,26,prior_payments_delayed,appliances,4724,100_to_500,4_to_7,3,female,none,2,savings_insurance,42,none,own
2619,greater_200,27,outstanding_credit,radio_tv,9772,100_to_500,greater_7,5,male,co-applicant,5,unknown,37,none,own
2620,0_to_200,19,credits_paid_to_date,appliances,1623,less_100,4_to_7,2,male,none,2,car_other,41,none,rent
2621,0_to_200,23,outstanding_credit,car_used,3983,100_to_500,4_to_7,4,female,none,4,car_other,26,stores,own
2622,less_0,15,credits_paid_to_date,car_new,422,500_to_1000,1_to_4,2,male,co-applicant,1,car_other,49,none,own
2623,less_0,4,all_credits_paid_back,car_used,250,less_100,1_to_4,1,female,none,1,savings_insurance,24,bank,rent
2624,no_checking,32,outstanding_credit,furniture,6066,unknown,4_to_7,4,male,none,5,unknown,48,stores,own
2625,greater_200,12,credits_paid_to_date,car_new,250,less_100,4_to_7,3,male,none,2,real_estate,19,none,own
2626,no_checking,29,outstanding_credit,appliances,5237,greater_1000,greater_7,5,male,none,4,unknown,54,none,free
2627,no_checking,40,outstanding_credit,repairs,6989,greater_1000,greater_7,4,male,co-applicant,3,car_other,58,none,free
2628,0_to_200,20,credits_paid_to_date,car_used,2974,less_100,1_to_4,3,male,none,2,savings_insurance,37,none,rent
2629,less_0,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,female,none,1,real_estate,22,none,own
2630,greater_200,19,credits_paid_to_date,radio_tv,5848,less_100,less_1,3,female,co-applicant,4,car_other,44,none,own
2631,0_to_200,22,prior_payments_delayed,car_used,426,100_to_500,less_1,3,male,none,1,savings_insurance,37,bank,rent
2632,less_0,13,all_credits_paid_back,car_new,1133,less_100,unemployed,1,male,none,1,real_estate,21,none,rent
2633,less_0,30,credits_paid_to_date,car_used,4864,less_100,4_to_7,3,male,none,2,car_other,34,none,rent
2634,0_to_200,21,outstanding_credit,radio_tv,3480,greater_1000,1_to_4,3,male,none,4,savings_insurance,33,stores,own
2635,less_0,4,all_credits_paid_back,car_new,650,less_100,less_1,1,female,none,2,savings_insurance,19,none,own
2636,greater_200,29,prior_payments_delayed,car_used,3733,100_to_500,4_to_7,4,male,none,3,car_other,41,none,own
2637,no_checking,28,prior_payments_delayed,car_used,7769,100_to_500,1_to_4,4,male,none,3,savings_insurance,23,none,free
2638,no_checking,29,outstanding_credit,appliances,6358,500_to_1000,1_to_4,4,male,none,3,unknown,44,none,own
2639,less_0,21,credits_paid_to_date,retraining,1231,100_to_500,1_to_4,1,female,none,1,savings_insurance,27,stores,own
2640,less_0,11,all_credits_paid_back,furniture,2707,100_to_500,less_1,1,female,none,2,savings_insurance,24,stores,rent
2641,no_checking,20,credits_paid_to_date,radio_tv,2239,500_to_1000,1_to_4,2,female,none,2,real_estate,29,bank,own
2642,less_0,12,all_credits_paid_back,furniture,4781,less_100,4_to_7,3,male,co-applicant,2,savings_insurance,36,none,own
2643,less_0,23,credits_paid_to_date,car_new,250,less_100,unemployed,1,female,co-applicant,2,real_estate,33,stores,own
2644,0_to_200,21,outstanding_credit,education,5468,greater_1000,4_to_7,4,male,none,4,savings_insurance,36,stores,own
2645,no_checking,15,credits_paid_to_date,furniture,2136,100_to_500,unemployed,3,male,none,3,car_other,20,none,own
2646,0_to_200,23,prior_payments_delayed,radio_tv,2829,less_100,1_to_4,2,female,none,2,savings_insurance,38,stores,own
2647,less_0,4,credits_paid_to_date,car_used,250,100_to_500,4_to_7,2,female,none,3,real_estate,24,bank,rent
2648,less_0,9,no_credits,car_new,250,less_100,unemployed,2,female,none,1,real_estate,27,none,rent
2649,no_checking,27,prior_payments_delayed,appliances,1800,500_to_1000,4_to_7,4,male,none,4,real_estate,46,none,own
2650,less_0,18,credits_paid_to_date,car_used,1610,500_to_1000,4_to_7,3,male,none,3,savings_insurance,28,none,own
2651,less_0,16,credits_paid_to_date,furniture,250,less_100,4_to_7,2,female,none,1,savings_insurance,19,stores,own
2652,no_checking,33,prior_payments_delayed,radio_tv,8801,greater_1000,greater_7,5,male,guarantor,4,unknown,53,none,free
2653,less_0,9,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,3,savings_insurance,23,none,own
2654,less_0,15,credits_paid_to_date,car_new,2548,less_100,less_1,3,female,none,3,car_other,30,bank,rent
2655,less_0,4,credits_paid_to_date,radio_tv,271,100_to_500,less_1,2,female,none,1,savings_insurance,19,none,rent
2656,no_checking,37,credits_paid_to_date,furniture,4396,unknown,4_to_7,4,female,none,3,savings_insurance,53,none,own
2657,no_checking,19,credits_paid_to_date,car_new,3132,100_to_500,4_to_7,3,female,none,2,savings_insurance,40,none,own
2658,less_0,24,credits_paid_to_date,car_new,2897,500_to_1000,1_to_4,2,female,none,1,car_other,37,stores,own
2659,no_checking,8,credits_paid_to_date,furniture,4545,100_to_500,1_to_4,3,male,none,4,real_estate,33,none,own
2660,0_to_200,20,credits_paid_to_date,furniture,1958,500_to_1000,1_to_4,3,female,none,1,real_estate,47,stores,own
2661,0_to_200,17,credits_paid_to_date,car_new,3863,less_100,1_to_4,2,female,none,1,savings_insurance,39,bank,own
2662,no_checking,25,prior_payments_delayed,radio_tv,5524,100_to_500,greater_7,4,female,none,3,car_other,44,none,own
2663,less_0,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,female,none,2,real_estate,21,stores,rent
2664,greater_200,23,credits_paid_to_date,radio_tv,3161,100_to_500,4_to_7,3,female,none,2,savings_insurance,40,none,own
2665,no_checking,31,prior_payments_delayed,radio_tv,5637,100_to_500,4_to_7,4,male,none,5,car_other,32,none,own
2666,0_to_200,18,prior_payments_delayed,retraining,3140,100_to_500,greater_7,3,female,none,2,savings_insurance,38,bank,own
2667,less_0,6,all_credits_paid_back,education,250,100_to_500,less_1,1,male,none,1,real_estate,26,stores,rent
2668,no_checking,43,prior_payments_delayed,furniture,5940,500_to_1000,4_to_7,3,male,co-applicant,4,unknown,43,none,own
2669,no_checking,8,prior_payments_delayed,car_new,4882,greater_1000,greater_7,4,male,none,4,unknown,37,none,own
2670,no_checking,24,outstanding_credit,car_used,6645,500_to_1000,greater_7,4,male,co-applicant,3,unknown,51,none,free
2671,0_to_200,42,prior_payments_delayed,appliances,2760,100_to_500,4_to_7,3,male,none,2,car_other,34,bank,own
2672,0_to_200,14,credits_paid_to_date,car_used,1397,500_to_1000,less_1,2,male,none,3,car_other,46,none,own
2673,less_0,4,all_credits_paid_back,repairs,250,less_100,unemployed,1,male,none,1,real_estate,19,stores,rent
2674,no_checking,26,prior_payments_delayed,radio_tv,5346,unknown,1_to_4,4,male,none,4,car_other,55,stores,own
2675,no_checking,49,credits_paid_to_date,furniture,2461,unknown,1_to_4,4,male,none,3,savings_insurance,28,none,own
2676,less_0,19,prior_payments_delayed,radio_tv,1317,greater_1000,4_to_7,2,male,none,3,car_other,38,stores,own
2677,no_checking,44,outstanding_credit,radio_tv,5037,greater_1000,greater_7,4,male,co-applicant,5,unknown,37,none,free
2678,0_to_200,16,credits_paid_to_date,car_new,3181,less_100,4_to_7,3,male,none,2,car_other,40,none,own
2679,no_checking,25,outstanding_credit,vacation,4296,500_to_1000,greater_7,5,male,none,4,car_other,47,none,free
2680,no_checking,31,all_credits_paid_back,furniture,4380,greater_1000,1_to_4,3,female,none,3,savings_insurance,36,bank,own
2681,no_checking,43,prior_payments_delayed,radio_tv,4400,500_to_1000,greater_7,5,male,co-applicant,4,car_other,45,none,own
2682,no_checking,38,outstanding_credit,other,6481,greater_1000,1_to_4,4,male,none,2,savings_insurance,45,bank,own
2683,0_to_200,13,credits_paid_to_date,vacation,250,less_100,less_1,2,female,none,3,real_estate,19,bank,rent
2684,less_0,17,credits_paid_to_date,furniture,1557,500_to_1000,1_to_4,2,male,co-applicant,2,savings_insurance,38,stores,own
2685,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,female,none,2,savings_insurance,28,none,own
2686,no_checking,30,prior_payments_delayed,education,7603,100_to_500,4_to_7,3,male,none,4,savings_insurance,39,none,own
2687,0_to_200,19,no_credits,furniture,250,less_100,less_1,1,female,none,3,real_estate,19,none,rent
2688,no_checking,38,outstanding_credit,other,7905,greater_1000,greater_7,6,male,co-applicant,5,unknown,48,none,own
2689,less_0,9,credits_paid_to_date,car_used,250,less_100,less_1,2,female,none,3,real_estate,29,bank,rent
2690,less_0,10,credits_paid_to_date,car_new,1315,500_to_1000,less_1,2,male,none,2,savings_insurance,26,none,rent
2691,no_checking,9,no_credits,car_new,2327,500_to_1000,less_1,3,female,none,3,real_estate,33,stores,rent
2692,less_0,10,all_credits_paid_back,vacation,1575,less_100,unemployed,1,female,none,1,real_estate,20,bank,rent
2693,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,2,real_estate,19,stores,rent
2694,no_checking,42,prior_payments_delayed,furniture,5186,500_to_1000,1_to_4,3,male,none,4,car_other,42,none,free
2695,no_checking,27,prior_payments_delayed,education,5629,100_to_500,4_to_7,3,female,none,4,car_other,32,none,own
2696,less_0,8,prior_payments_delayed,vacation,3335,less_100,less_1,2,female,none,3,savings_insurance,27,bank,rent
2697,less_0,6,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,savings_insurance,20,stores,rent
2698,no_checking,48,outstanding_credit,appliances,6251,greater_1000,4_to_7,5,male,co-applicant,5,unknown,53,none,own
2699,greater_200,35,prior_payments_delayed,appliances,4256,unknown,1_to_4,4,male,none,4,savings_insurance,20,none,own
2700,no_checking,31,prior_payments_delayed,car_used,4209,unknown,greater_7,4,male,none,3,savings_insurance,42,none,own
2701,no_checking,15,prior_payments_delayed,repairs,5345,100_to_500,greater_7,4,male,none,5,car_other,33,none,own
